"frame","x [nm]","y [nm]"
1,79847.4675728142,10000.0
1,78709.66275162883,9875.0
1,64305.48506980476,125750.0
1,16125.0,8000.0
1,15000.0,8000.0
1,3847.4675728141897,106000.0
1,80165.33724837117,8125.0
1,79040.33724837117,8125.0
1,2709.662751628822,105875.0
1,66750.0,106000.0
1,67875.0,106000.0
1,72096.30283343673,63000.0
1,72096.30283343673,63000.0
1,65959.66275162883,111875.0
1,1959.6627516288218,111875.0
1,14903.697166563275,9000.0
1,14903.697166563275,9000.0
1,80083.52329632264,8125.0
1,78932.03040804541,9000.0
1,3097.4675728141897,112000.0
1,1317.9695919545911,118125.0
1,66583.52329632264,116125.0
1,15583.523296322644,12125.0
1,14432.030408045408,13000.0
1,67182.03040804541,103000.0
1,67182.03040804541,103000.0
1,8569.514930195235,69375.0
1,72346.30283343673,61000.0
1,4333.5232963226445,102125.0
1,72305.48506980477,61750.0
1,8291.476703677356,61875.0
1,3182.0304080454093,103000.0
1,79583.52329632264,12125.0
1,78432.03040804541,13000.0
1,8317.969591954592,62125.0
1,7403.6971665632755,69000.0
1,14346.302833436725,13000.0
1,14346.302833436725,13000.0
1,78305.48506980477,13750.0
1,67290.33724837117,102125.0
1,78346.30283343673,13000.0
1,65432.03040804541,117000.0
1,72569.51493019523,69375.0
1,71403.69716656327,69000.0
1,14625.0,11000.0
1,14625.0,11000.0
1,65317.96959195459,118125.0
1,67027.5324271858,104000.0
1,67040.33724837117,104125.0
1,78625.0,11000.0
1,78625.0,11000.0
1,65291.47670367736,117875.0
1,3055.4850698047658,103750.0
1,3096.3028334367245,103000.0
1,15665.33724837118,12125.0
1,14540.33724837118,12125.0
1,78540.33724837117,12125.0
1,79665.33724837117,12125.0
1,8041.4767036773555,63875.0
1,2250.0,110000.0
1,2250.0,110000.0
1,7875.0,65000.0
1,79596.30283343673,3000.0
1,79596.30283343673,3000.0
1,15541.476703677356,3875.0
1,15567.969591954592,4125.0
1,66277.5324271858,110000.0
1,66290.33724837117,110125.0
1,72847.4675728142,66000.0
1,8847.467572814188,66000.0
1,7709.662751628822,65875.0
1,7805.485069804766,65750.0
1,71875.0,65000.0
1,64250.0,126000.0
1,80625.0,4000.0
1,79500.0,4000.0
1,15459.66275162882,3875.0
1,2346.3028334367245,109000.0
1,71682.03040804541,67000.0
1,16597.46757281419,4000.0
1,73069.51493019523,65375.0
1,2055.4850698047658,111750.0
